epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.53,0.93177,3.7376,1.07957,0.01881,0.97896,0.33872,0.24914,0.71029,4.34207,0.85138,0.000359752,0.000359752,0.000359752
2,23.888,0.81713,2.2682,1.04101,0.00642,0.93838,0.62563,0.48765,0.71891,4.15253,0.99051,0.000722858,0.000722858,0.000722858
3,35.8054,0.84542,2.03319,1.05525,0.82869,0.68119,0.84303,0.6683,0.78926,2.96632,1.04157,0.00107863,0.00107863,0.00107863
4,46.232,0.8159,1.67465,1.00066,0.85456,0.88072,0.94913,0.77008,0.70141,2.18672,1.00117,0.001078,0.001078,0.001078
5,56.6824,0.79696,1.49062,1.01226,0.81479,0.78256,0.82447,0.68938,0.67964,2.12783,0.9983,0.001067,0.001067,0.001067
6,66.9744,0.79383,1.37976,1.02531,0.96383,0.97485,0.98772,0.84695,0.59239,1.28456,0.94764,0.00105601,0.00105601,0.00105601
7,77.359,0.7748,1.27542,1.02485,0.97325,0.94331,0.96344,0.83105,0.59903,1.34578,0.94437,0.00104501,0.00104501,0.00104501
8,87.6444,0.74011,1.12416,0.98744,0.9587,0.95499,0.97772,0.8212,0.64678,1.17386,0.97181,0.00103401,0.00103401,0.00103401
9,97.9055,0.76516,1.03985,0.99603,0.95331,0.96017,0.98311,0.84168,0.61706,1.08927,0.96541,0.00102301,0.00102301,0.00102301
10,108.14,0.73054,1.04087,1.01071,0.96388,0.9889,0.9842,0.83974,0.58831,0.89804,0.94064,0.00101201,0.00101201,0.00101201
11,118.371,0.69098,0.88639,0.98384,0.96632,0.96819,0.97939,0.83786,0.5874,0.81085,0.94353,0.00100101,0.00100101,0.00100101
12,128.765,0.73557,0.87087,0.99885,0.97232,0.96443,0.98301,0.84945,0.57115,0.7915,0.93911,0.000990012,0.000990012,0.000990012
13,138.981,0.70182,0.81831,0.97525,0.98835,0.96939,0.98781,0.84596,0.62377,0.77102,0.94236,0.000979013,0.000979013,0.000979013
14,149.243,0.70252,0.77179,0.97535,0.97433,0.9677,0.98612,0.84788,0.58845,0.72015,0.93628,0.000968014,0.000968014,0.000968014
15,159.478,0.70434,0.75583,0.9795,0.96324,0.94213,0.98586,0.84721,0.55554,0.72082,0.92658,0.000957015,0.000957015,0.000957015
16,169.733,0.67459,0.70157,0.9667,0.97596,0.95697,0.97902,0.83267,0.60953,0.68661,0.95713,0.000946016,0.000946016,0.000946016
17,179.922,0.70635,0.69858,1.00056,0.97609,0.97375,0.98492,0.84634,0.55173,0.6035,0.9273,0.000935018,0.000935018,0.000935018
18,190.225,0.689,0.65268,0.98162,0.94389,0.96785,0.97994,0.84499,0.57435,0.61211,0.94451,0.000924019,0.000924019,0.000924019
19,200.412,0.64948,0.65012,0.95826,0.97811,0.95761,0.98315,0.84906,0.54354,0.59685,0.92584,0.00091302,0.00091302,0.00091302
20,210.658,0.65913,0.63029,0.96752,0.98857,0.96472,0.9873,0.8649,0.52893,0.54566,0.93854,0.000902021,0.000902021,0.000902021
21,220.855,0.64386,0.58837,0.9713,0.98223,0.98806,0.98878,0.86644,0.51374,0.52398,0.91197,0.000891022,0.000891022,0.000891022
22,231.753,0.61845,0.55328,0.94967,0.98085,0.97893,0.98725,0.85626,0.52413,0.53231,0.91891,0.000880023,0.000880023,0.000880023
23,241.953,0.63299,0.59253,0.95084,0.99092,0.97803,0.98625,0.86265,0.51452,0.50258,0.90336,0.000869024,0.000869024,0.000869024
24,252.132,0.61967,0.53764,0.94946,0.97587,0.9688,0.98644,0.87976,0.49802,0.4918,0.90245,0.000858025,0.000858025,0.000858025
25,262.468,0.60369,0.52163,0.93951,0.97052,0.969,0.97763,0.84697,0.56719,0.51848,0.92382,0.000847026,0.000847026,0.000847026
26,273.138,0.65404,0.54678,0.97674,0.98126,0.94996,0.97913,0.85659,0.54275,0.48429,0.94261,0.000836027,0.000836027,0.000836027
27,283.397,0.62279,0.49624,0.93565,0.99051,0.96154,0.98595,0.8755,0.53125,0.49419,0.91827,0.000825029,0.000825029,0.000825029
28,293.562,0.61608,0.52654,0.91833,0.98132,0.98277,0.98325,0.86611,0.50789,0.42457,0.91072,0.00081403,0.00081403,0.00081403
29,303.718,0.64784,0.49455,0.98075,0.98607,0.97313,0.98632,0.87534,0.50221,0.43039,0.90313,0.000803031,0.000803031,0.000803031
30,313.943,0.61197,0.46915,0.94735,0.93013,0.94591,0.96372,0.86213,0.5098,0.51732,0.91127,0.000792032,0.000792032,0.000792032
31,324.32,0.60882,0.46493,0.93977,0.98364,0.97899,0.98373,0.86913,0.50467,0.40499,0.90942,0.000781033,0.000781033,0.000781033
32,334.506,0.60487,0.45422,0.94807,0.96626,0.9776,0.98803,0.87193,0.49221,0.41182,0.90058,0.000770034,0.000770034,0.000770034
33,344.636,0.60747,0.46476,0.95271,0.97161,0.98807,0.98863,0.87771,0.48136,0.38835,0.89479,0.000759035,0.000759035,0.000759035
34,354.852,0.59688,0.45603,0.93496,0.98584,0.98321,0.98879,0.87197,0.49728,0.38676,0.90152,0.000748036,0.000748036,0.000748036
35,365.024,0.60327,0.44291,0.92927,0.9851,0.99178,0.989,0.88215,0.49116,0.36042,0.89998,0.000737037,0.000737037,0.000737037
36,375.25,0.588,0.44483,0.93587,0.98379,0.98254,0.988,0.86702,0.4988,0.39652,0.90282,0.000726038,0.000726038,0.000726038
37,386.203,0.55211,0.43768,0.91704,0.97148,0.97686,0.98291,0.8683,0.49992,0.40373,0.91191,0.00071504,0.00071504,0.00071504
38,396.484,0.60226,0.44813,0.94594,0.9878,0.97943,0.98869,0.88139,0.50088,0.38345,0.89846,0.000704041,0.000704041,0.000704041
39,406.647,0.59441,0.45536,0.93431,0.96906,0.97821,0.98286,0.87209,0.48888,0.37965,0.90024,0.000693042,0.000693042,0.000693042
40,416.781,0.60032,0.45597,0.96325,0.95126,0.97442,0.97559,0.86178,0.50432,0.40195,0.8987,0.000682043,0.000682043,0.000682043
41,426.984,0.55433,0.42674,0.92332,0.98617,0.98372,0.97969,0.87585,0.47047,0.36139,0.89498,0.000671044,0.000671044,0.000671044
42,437.175,0.61035,0.446,0.96859,0.98598,0.9851,0.988,0.87167,0.50904,0.3616,0.90069,0.000660045,0.000660045,0.000660045
43,447.414,0.59357,0.42167,0.94125,0.99064,0.98601,0.98521,0.87975,0.49248,0.34898,0.90533,0.000649046,0.000649046,0.000649046
44,457.728,0.56269,0.41748,0.93043,0.98375,0.98249,0.9799,0.86999,0.4764,0.35425,0.90071,0.000638047,0.000638047,0.000638047
45,467.872,0.57018,0.3997,0.92975,0.98465,0.9685,0.98562,0.87934,0.46747,0.34449,0.89374,0.000627048,0.000627048,0.000627048
46,478.047,0.57215,0.4051,0.9357,0.98693,0.98679,0.98869,0.89038,0.45902,0.32331,0.89446,0.000616049,0.000616049,0.000616049
47,488.243,0.55072,0.38474,0.92402,0.98637,0.97272,0.98469,0.87636,0.4909,0.34842,0.91211,0.000605051,0.000605051,0.000605051
48,498.969,0.54169,0.38214,0.91844,0.98891,0.97385,0.98574,0.88841,0.47398,0.35542,0.89753,0.000594052,0.000594052,0.000594052
49,509.111,0.5611,0.38986,0.93732,0.98064,0.98039,0.98474,0.88815,0.46065,0.33588,0.8929,0.000583053,0.000583053,0.000583053
50,519.379,0.54272,0.38789,0.9065,0.98384,0.98383,0.98507,0.88741,0.46707,0.33511,0.89622,0.000572054,0.000572054,0.000572054
51,529.601,0.54168,0.38501,0.93104,0.97979,0.98969,0.98831,0.87902,0.47249,0.32161,0.89773,0.000561055,0.000561055,0.000561055
52,539.857,0.52209,0.38301,0.90058,0.99332,0.98086,0.989,0.88566,0.45653,0.31143,0.90159,0.000550056,0.000550056,0.000550056
53,550.104,0.52786,0.34745,0.91473,0.98983,0.97878,0.98473,0.88357,0.46668,0.3206,0.89499,0.000539057,0.000539057,0.000539057
54,560.339,0.54353,0.38189,0.91599,0.9945,0.98033,0.989,0.89346,0.46289,0.29802,0.89211,0.000528058,0.000528058,0.000528058
55,570.511,0.55473,0.39088,0.94665,0.98744,0.97868,0.98708,0.8885,0.44067,0.30112,0.88528,0.000517059,0.000517059,0.000517059
56,580.72,0.57647,0.39049,0.92845,0.98783,0.9844,0.98841,0.88748,0.46425,0.30981,0.89506,0.00050606,0.00050606,0.00050606
57,590.958,0.54845,0.41926,0.91743,0.98969,0.9851,0.98097,0.8778,0.45921,0.32197,0.90589,0.000495062,0.000495062,0.000495062
58,601.159,0.55159,0.37707,0.92818,0.98842,0.98785,0.989,0.88565,0.45716,0.29639,0.89191,0.000484063,0.000484063,0.000484063
59,611.307,0.55116,0.37516,0.93662,0.99074,0.98539,0.989,0.88104,0.45924,0.30942,0.89218,0.000473064,0.000473064,0.000473064
60,621.612,0.53758,0.36509,0.91008,0.98931,0.97883,0.98469,0.88272,0.4618,0.30804,0.89045,0.000462065,0.000462065,0.000462065
61,631.999,0.49428,0.4389,0.88017,0.97774,0.98015,0.98741,0.87513,0.47134,0.31491,0.89141,0.000451066,0.000451066,0.000451066
62,643.394,0.52564,0.36758,0.91502,0.98764,0.97891,0.97781,0.87631,0.45605,0.30277,0.89311,0.000440067,0.000440067,0.000440067
63,654.636,0.50551,0.36437,0.91546,0.99089,0.97862,0.98625,0.89113,0.4459,0.29548,0.8903,0.000429068,0.000429068,0.000429068
64,665.789,0.51264,0.36003,0.89408,0.98207,0.9812,0.989,0.88295,0.45684,0.29416,0.88623,0.000418069,0.000418069,0.000418069
65,676.809,0.51548,0.35082,0.90517,0.98941,0.98079,0.98869,0.89818,0.45002,0.28626,0.88743,0.00040707,0.00040707,0.00040707
