epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67072,0.8811,3.53515,1.06217,0.00951,1,0.53183,0.45313,0.61046,4.0234,0.81907,0.000361301,0.000361301,0.000361301
2,16.6826,0.83261,2.1418,1.04054,1,0.10515,0.46099,0.31861,0.85017,3.76568,0.89837,0.000724391,0.000724391,0.000724391
3,23.51,0.82781,1.81734,1.04042,0.9951,0.48214,0.99448,0.8617,0.66826,2.70589,1.05703,0.00108015,0.00108015,0.00108015
4,30.2693,0.74703,1.50404,0.99972,0.63683,1,0.98616,0.81715,0.57767,2.25965,0.98435,0.001078,0.001078,0.001078
5,37.0552,0.76587,1.32907,1.00975,0.98246,0.992,0.995,0.83207,0.55974,1.58339,0.95679,0.001067,0.001067,0.001067
6,43.8798,0.7601,1.23858,1.0067,0.97584,1,0.995,0.78953,0.55123,1.13792,0.93809,0.00105601,0.00105601,0.00105601
7,50.7383,0.74457,1.10403,0.99895,0.96079,0.85894,0.995,0.83202,0.53459,1.40668,0.92865,0.00104501,0.00104501,0.00104501
8,57.5505,0.69142,0.98482,0.96928,0.94818,0.85852,0.99448,0.89097,0.47818,1.31184,0.92286,0.00103401,0.00103401,0.00103401
9,64.4029,0.71274,0.95485,0.98544,0.97699,0.96475,0.995,0.83504,0.52038,0.85969,0.95631,0.00102301,0.00102301,0.00102301
10,71.1767,0.70144,0.90538,0.98123,0.98018,0.94805,0.995,0.88096,0.54507,0.98291,0.94215,0.00101201,0.00101201,0.00101201
11,77.9964,0.68725,0.82582,0.98105,0.97172,1,0.995,0.8027,0.48827,0.73948,0.90983,0.00100101,0.00100101,0.00100101
12,84.796,0.6946,0.83948,0.97348,0.98582,1,0.995,0.83936,0.49567,0.66759,0.89435,0.000990012,0.000990012,0.000990012
13,91.6419,0.65631,0.70689,0.9607,0.97465,0.99573,0.995,0.7973,0.46115,0.6133,0.90819,0.000979013,0.000979013,0.000979013
14,98.5054,0.67784,0.69616,0.96449,0.97687,1,0.995,0.83854,0.50099,0.58088,0.91337,0.000968014,0.000968014,0.000968014
15,105.356,0.68264,0.64128,0.97995,0.98538,0.98288,0.995,0.83752,0.52385,0.61823,0.91259,0.000957015,0.000957015,0.000957015
16,112.17,0.65982,0.6459,0.96301,0.98505,1,0.995,0.89979,0.51185,0.51496,0.91914,0.000946016,0.000946016,0.000946016
17,119.009,0.64956,0.63834,0.95023,0.98393,0.97543,0.995,0.89573,0.49802,0.60115,0.90083,0.000935018,0.000935018,0.000935018
